model,choices,experiments,choice_mae,choice_max,experiment_mae,experiment_p95,experiment_max,report_macro_e0,report_macro_e3,report_floor
minitaur8b,65586,75,0.0041341018722928944,0.2423090934753418,7.318350075821711e-05,0.0003671212256818266,0.0013056408275256004,1.3758707523202145,1.3758786166814667,7.864361252218899e-06
llama31_8b_base,65586,75,0.0002794429299711444,0.19572591774385728,5.7420325885883155e-05,0.0002833440673930649,0.0016718571240579294,1.4662399351512874,1.466239218309443,7.168418443281865e-07
