experiment,participant,choice_index,nll,num_tokens
kool2016when/exp1.csv,8,99,0.0908239483833313,1
kool2016when/exp1.csv,8,100,0.16687698662281036,1
kool2016when/exp1.csv,8,101,0.9005453586578369,1
kool2016when/exp1.csv,8,102,0.2567438781261444,1
kool2016when/exp1.csv,8,103,0.08204992860555649,1
kool2016when/exp1.csv,8,104,1.4149200916290283,1
kool2016when/exp1.csv,8,105,0.6339729428291321,1
kool2016when/exp1.csv,8,106,0.3894217908382416,1
kool2016when/exp1.csv,8,107,0.4309704899787903,1
kool2016when/exp1.csv,8,108,0.7596071362495422,1
kool2016when/exp1.csv,8,109,0.6394075751304626,1
kool2016when/exp1.csv,8,110,0.25377824902534485,1
kool2016when/exp1.csv,8,111,0.28685474395751953,1
kool2016when/exp1.csv,8,112,0.09230877459049225,1
kool2016when/exp1.csv,8,113,0.6940131187438965,1
kool2016when/exp1.csv,8,114,0.22660396993160248,1
kool2016when/exp1.csv,8,115,0.3528265058994293,1
kool2016when/exp1.csv,8,116,0.5763934254646301,1
kool2016when/exp1.csv,8,117,0.2032560110092163,1
kool2016when/exp1.csv,8,118,0.3912191689014435,1
kool2016when/exp1.csv,8,119,0.6330574154853821,1
kool2016when/exp1.csv,8,120,0.14399710297584534,1
kool2016when/exp1.csv,8,121,0.10301151126623154,1
kool2016when/exp1.csv,8,122,0.3498876988887787,1
kool2016when/exp1.csv,8,123,0.43289312720298767,1
kool2016when/exp1.csv,9,0,4.237013339996338,1
kool2016when/exp1.csv,9,1,1.3967723846435547,1
kool2016when/exp1.csv,9,2,0.4837789833545685,1
kool2016when/exp1.csv,9,3,1.2131484746932983,1
kool2016when/exp1.csv,9,4,0.7676103115081787,1
kool2016when/exp1.csv,9,5,1.1242526769638062,1
kool2016when/exp1.csv,9,6,1.202163577079773,1
kool2016when/exp1.csv,9,7,0.746502697467804,1
kool2016when/exp1.csv,9,8,0.879224419593811,1
kool2016when/exp1.csv,9,9,0.7349122762680054,1
kool2016when/exp1.csv,9,10,0.8696963787078857,1
kool2016when/exp1.csv,9,11,1.1033365726470947,1
kool2016when/exp1.csv,9,12,0.5577093362808228,1
kool2016when/exp1.csv,9,13,0.790298342704773,1
kool2016when/exp1.csv,9,14,1.5242316722869873,1
kool2016when/exp1.csv,9,15,0.4789181649684906,1
kool2016when/exp1.csv,9,16,0.45263996720314026,1
kool2016when/exp1.csv,9,17,0.33261680603027344,1
kool2016when/exp1.csv,9,18,1.163969874382019,1
kool2016when/exp1.csv,9,19,0.3119408190250397,1
kool2016when/exp1.csv,9,20,0.21205446124076843,1
kool2016when/exp1.csv,9,21,1.0026549100875854,1
